time,ADM1_EN,ADM2_EN,precipitation,time2,time3
2023-02-06 00:00:00,Alaotra Mangoro,Ambatondrazaka,0.404104469845112,2023-02-06,02-06
2023-02-06 00:00:00,Alaotra Mangoro,Amparafaravola,0.306033038174792,2023-02-06,02-06
2023-02-06 00:00:00,Alaotra Mangoro,Andilamena,0.378351081474648,2023-02-06,02-06
2023-02-06 00:00:00,Alaotra Mangoro,Anosibe-An'ala,1.05174758054879,2023-02-06,02-06
2023-02-06 00:00:00,Alaotra Mangoro,Moramanga,0.478220432464431,2023-02-06,02-06
2023-02-06 00:00:00,Amoron I Mania,Ambatofinandrahana,0.673658367164139,2023-02-06,02-06
2023-02-06 00:00:00,Amoron I Mania,Ambositra,0.226206223717712,2023-02-06,02-06
2023-02-06 00:00:00,Amoron I Mania,Fandriana,0.206388523884877,2023-02-06,02-06
2023-02-06 00:00:00,Amoron I Mania,Manandriana,0.151712706945546,2023-02-06,02-06
2023-02-06 00:00:00,Analamanga,Ambohidratrimo,0.0753037686275396,2023-02-06,02-06
2023-02-06 00:00:00,Analamanga,Andramasina,0.150822928695041,2023-02-06,02-06
2023-02-06 00:00:00,Analamanga,Anjozorobe,0.722365429082168,2023-02-06,02-06
2023-02-06 00:00:00,Analamanga,Ankazobe,1.01040022958257,2023-02-06,02-06
2023-02-06 00:00:00,Analamanga,Antananarivo Atsimondrano,0.10186836142869,2023-02-06,02-06
2023-02-06 00:00:00,Analamanga,Antananarivo Avaradrano,0.198267109234751,2023-02-06,02-06
2023-02-06 00:00:00,Analamanga,Manjakandriana,0.177529560334873,2023-02-06,02-06
2023-02-06 00:00:00,Analanjirofo,Fenerive Est,0.493270839166004,2023-02-06,02-06
2023-02-06 00:00:00,Analanjirofo,Mananara-Avaratra,0.287990641962686,2023-02-06,02-06
2023-02-06 00:00:00,Analanjirofo,Maroantsetra,0.157920094605028,2023-02-06,02-06
2023-02-06 00:00:00,Analanjirofo,Sainte Marie,1.47254590867669,2023-02-06,02-06
2023-02-06 00:00:00,Analanjirofo,Soanierana Ivongo,0.469467646094681,2023-02-06,02-06
2023-02-06 00:00:00,Analanjirofo,Vavatenina,0.79427010901738,2023-02-06,02-06
2023-02-06 00:00:00,Androy,Ambovombe-Androy,0.00469545329197947,2023-02-06,02-06
2023-02-06 00:00:00,Androy,Bekily,0.0532658426321198,2023-02-06,02-06
2023-02-06 00:00:00,Androy,Beloha,0.00596946861672526,2023-02-06,02-06
2023-02-06 00:00:00,Anosy,Amboasary-Atsimo,0.144450219528933,2023-02-06,02-06
2023-02-06 00:00:00,Anosy,Betroka,0.151592229970074,2023-02-06,02-06
2023-02-06 00:00:00,Anosy,Taolagnaro,0.756811107258292,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0179319443839157,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Andrefana,Ankazoabo,0.0183802310934742,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Andrefana,Benenitra,0.115732996743949,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Andrefana,Beroroha,0.720790667490292,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Andrefana,Betioky Atsimo,0.00033903303639298,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Andrefana,Morombe,1.29320074902904E-05,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Andrefana,Sakaraha,0.018697122233838,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Andrefana,Toliary-I,6.89848093315959E-06,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Andrefana,Toliary-II,0.000171317418982439,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Atsinanana,Befotaka,0.189379600247291,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Atsinanana,Farafangana,1.06234243264529,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.349942217392492,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Atsinanana,Vangaindrano,0.9546774197092,2023-02-06,02-06
2023-02-06 00:00:00,Atsimo Atsinanana,Vondrozo,0.316481064332442,2023-02-06,02-06
2023-02-06 00:00:00,Atsinanana,Antanambao Manampontsy,1.26243677855819,2023-02-06,02-06
2023-02-06 00:00:00,Atsinanana,Brickaville,1.64064628435405,2023-02-06,02-06
2023-02-06 00:00:00,Atsinanana,Mahanoro,1.76463016497925,2023-02-06,02-06
